,시도,시군구,읍면동,도로명,단지명,위도,경도,행정동
0,서울특별시,강남구,대치동,선릉로 120,개포우성1,37.4909714,127.058731,대치1동
1,서울특별시,강남구,삼성동,삼성로111길 8,현대힐스테이트2단지,37.5136924,127.0515343,삼성2동
2,서울특별시,강남구,역삼동,역삼로 240,세방하이빌1,37.4972409,127.0428082,역삼2동
3,서울특별시,강서구,화곡동,등촌로13자길 74,태영방송인,37.5373929,126.8537632,화곡4동
4,서울특별시,강서구,화곡동,등촌로13자길 39-10,푸른숲2차(474-18),37.5374743,126.8556516,화곡4동
5,서울특별시,관악구,봉천동,보라매로 62,보라매삼성,37.4940833,126.9279872,보라매동
6,서울특별시,관악구,신림동,신림로29길 8,신림현대,37.4750266,126.932013,서림동
7,서울특별시,구로구,개봉동,개봉로20길 158,현대홈타운,37.491604,126.8613952,개봉2동
8,서울특별시,금천구,독산동,남부순환로120길 17,을미월드힐,37.4784682,126.9015052,독산3동
9,서울특별시,노원구,상계동,한글비석로54길 92,상계주공13(고층),37.6676287,127.0620472,상계9동
10,서울특별시,도봉구,도봉동,마들로 684-19,서원,37.6729225,127.0480149,도봉2동
11,서울특별시,동작구,사당동,동작대로29길 118,신동아5,37.4907944,126.9767493,사당2동
12,서울특별시,동작구,신대방동,신대방1가길 38,동작상떼빌,37.4874366,126.9066884,신대방1동
13,서울특별시,서대문구,북가좌동,거북골로14길 32,DMC아이파크,37.576116,126.9144385,북가좌2동
14,서울특별시,서대문구,홍은동,통일로48나길 2,유림그랑블,37.5960362,126.9410436,홍은1동
15,서울특별시,서대문구,홍은동,세검정로1길 95,홍은동벽산,37.5953949,126.9448914,홍은1동
16,서울특별시,성동구,금호동3가,금호산8길 14,금호자이2차,37.5503301,127.0218494,금호2·3가동
17,서울특별시,성동구,마장동,마장로42길 16,세림,37.5648648,127.045079,마장동
18,서울특별시,송파구,방이동,양재대로 1109,대림,37.5076137,127.1243165,방이1동
19,서울특별시,송파구,풍납동,강동대로9길 20,연지토성,37.5278779,127.1169859,풍납2동
20,서울특별시,양천구,목동,목동동로 430,목동신시가지6,37.5354014,126.884796,목5동
21,서울특별시,영등포구,당산동4가,당산로41길 23,당산현대3차,37.5312421,126.8966699,당산2동
22,서울특별시,영등포구,문래동3가,문래로 137,문래금호어울림,37.5190149,126.8976192,문래동
23,서울특별시,영등포구,신길동,신길로 214,선원가와인,37.5111699,126.9105727,영등포본동
24,서울특별시,용산구,도원동,새창로 70,삼성래미안,37.5382585,126.9558355,용문동
25,서울특별시,용산구,문배동,백범로90다길 12,CJ나인파크,37.5360408,126.969037,원효로1동
26,서울특별시,은평구,불광동,통일로 796,북한산힐스테이트7차,37.6164261,126.9260519,불광1동
27,서울특별시,은평구,신사동,가좌로 344,현대2,37.5978097,126.9072723,신사1동
28,서울특별시,은평구,진관동,진관4로 48-51,상림마을7단지아이파크(730~742동)BL1-14,37.6427097,126.9310899,진관동
29,서울특별시,중구,신당동,퇴계로90길 74,래미안하이베르,37.5615068,127.0223032,신당5동
30,서울특별시,중랑구,면목동,답십리로77길 139,두산6,37.5775451,127.0805904,면목7동
31,서울특별시,중랑구,면목동,동일로 501,면목삼익아파트,37.5751845,127.0794534,면목4동
32,서울특별시,중랑구,면목동,용마산로 210,용마산하늘채,37.5724867,127.0871053,면목4동
33,서울특별시,중랑구,중화동,망우로 203,동양엔파트,37.5939378,127.0751799,중화2동
34,서울특별시,강남구,개포동,개포로109길 69,개포자이,37.496249,127.0766686,개포3동
35,서울특별시,강남구,개포동,개포로 310,개포주공1단지,37.4826501,127.0581569,개포1동
36,서울특별시,강남구,대치동,역삼로 451,신성미소시티,37.5025584,127.0564027,대치4동
37,서울특별시,강남구,도곡동,도곡로28길 8,도곡1차아이파크,37.4919541,127.0431018,도곡1동
38,서울특별시,강남구,도곡동,언주로 203,매봉삼성,37.489162,127.048814,도곡1동
39,서울특별시,강남구,도곡동,논현로 218,삼익,37.4907482,127.0421673,도곡1동
40,서울특별시,강남구,도곡동,언주로30길 56,타워팰리스1,37.4882429,127.054423,도곡2동
41,서울특별시,강남구,도곡동,논현로 205,한신엠비씨,37.4871866,127.0407541,도곡1동
42,서울특별시,강남구,삼성동,봉은사로55길 36,대우멤버스카운티501,37.5128026,127.0439895,삼성2동
43,서울특별시,강남구,삼성동,선릉로 660,삼성동브라운스톤레전드,37.5154745,127.0423491,삼성2동
44,서울특별시,강남구,삼성동,학동로68길 30,삼성동중앙하이츠빌리지,37.5159924,127.0462225,삼성2동
45,서울특별시,강남구,삼성동,봉은사로105길 12-7,삼성풍림2차아파트,37.5160842,127.0621938,삼성1동
46,서울특별시,강남구,삼성동,선릉로130길 19,서광아파트,37.5171396,127.0432328,삼성2동
47,서울특별시,강남구,신사동,압구정로48길 15,압구정대원칸타빌아파트,37.5275506,127.0370697,압구정동
48,서울특별시,강남구,압구정동,압구정로 151,신현대11차,37.5259621,127.0246679,신사동
49,서울특별시,강남구,역삼동,도곡로7길 22,금호어울림,37.4921213,127.0348446,역삼1동
50,서울특별시,강남구,역삼동,언주로 316,대림역삼,37.4961883,127.04635,역삼2동
51,서울특별시,강남구,역삼동,도곡로43길 21,래미안그레이튼(진달래2차),37.4948096,127.0474532,역삼2동
52,서울특별시,강남구,역삼동,언주로 332,역삼푸르지오,37.4976327,127.0466822,역삼2동
53,서울특별시,강남구,일원동,광평로10길 15,상록수,37.4816121,127.0808061,일원본동
54,서울특별시,강남구,자곡동,자곡로 101,래미안강남힐즈,37.4735315,127.0938839,세곡동
55,서울특별시,강남구,청담동,도산대로89길 49,청담건영,37.5274856,127.0524232,청담동
56,서울특별시,강동구,둔촌동,동남로49길 57,현대1차아파트,37.5315924,127.1466989,둔촌2동
57,서울특별시,강동구,명일동,상암로 251,고덕주공9,37.5477358,127.1512227,명일2동
58,서울특별시,강동구,명일동,고덕로 210,삼익그린2차,37.5526579,127.1478055,명일1동
59,서울특별시,강동구,상일동,상암로81길 7,동아,37.5467418,127.167281,상일제1동
60,서울특별시,강동구,성내동,풍성로 114-1,성안마을청구,37.5315937,127.1247263,성내1동
61,서울특별시,강동구,암사동,고덕로 130,프라이어팰리스,37.5539135,127.1395406,암사1동
62,서울특별시,강동구,천호동,구천면로 189,동아코아아파트,37.5412082,127.1259719,천호2동
63,서울특별시,강북구,미아동,삼양로74길 8,경남아너스빌,37.6288555,127.018612,삼양동
64,서울특별시,강서구,가양동,허준로 47,가양2단지(성지),37.5704238,126.847201,가양1동
65,서울특별시,강서구,가양동,허준로 175,가양6단지,37.5633635,126.8587193,가양3동
66,서울특별시,강서구,가양동,양천로 489,가양우성,37.5621744,126.8540967,가양2동
67,서울특별시,강서구,가양동,허준로 139,강변,37.5653506,126.8554969,가양2동
68,서울특별시,강서구,가양동,허준로 121,대림경동아파트,37.5663629,126.8539647,가양2동
69,서울특별시,강서구,내발산동,강서로 348,우장산힐스테이트,37.5561648,126.8384457,우장산동
70,서울특별시,강서구,방화동,양천로18길 27,삼성꽃마을,37.5722145,126.8133259,방화1동
71,서울특별시,강서구,염창동,양천로67가길 49,이너스내안에201동,37.5540525,126.870541,염창동
72,서울특별시,강서구,염창동,양천로73가길 38,이너스양화6차,37.5502225,126.8742542,염창동
73,서울특별시,강서구,염창동,양천로75길 57,현대1,37.5527634,126.8752005,염창동
74,서울특별시,강서구,화곡동,화곡로18길 24,강서뉴타워,37.5391056,126.8354176,화곡1동
75,서울특별시,강서구,화곡동,우현로 67,강서힐스테이트,37.5467076,126.8378908,우장산동
76,서울특별시,강서구,화곡동,공항대로 382,우장산롯데캐슬,37.5553263,126.8494255,화곡6동
77,서울특별시,관악구,봉천동,은천로33길 5,관악동부센트레빌,37.4871353,126.9509729,성현동
78,서울특별시,관악구,봉천동,관악로30길 27,관악푸르지오,37.4873619,126.9613161,청림동
79,서울특별시,관악구,봉천동,남부순환로230길 94,푸르빌3차,37.4760733,126.9543384,낙성대동
80,서울특별시,관악구,봉천동,관악로40길 60,현대(관악),37.4919511,126.9606193,청림동
81,서울특별시,관악구,신림동,조원로 25,강남,37.4839388,126.9055295,조원동
82,서울특별시,관악구,신림동,난곡로 66,신림2차푸르지오,37.4613278,126.9198078,난향동
83,서울특별시,관악구,신림동,남부순환로 1430,신림푸르지오,37.4793381,126.9098139,미성동
84,서울특별시,광진구,광장동,광나루로 579,금호베스트빌,37.5437599,127.0939286,광장동
85,서울특별시,광진구,광장동,아차산로70길 17-21,삼성광장1,37.5413437,127.1031915,광장동
86,서울특별시,광진구,광장동,아차산로78가길 17,현대리버빌,37.5489876,127.1095393,광장동
87,서울특별시,광진구,구의동,구의강변로 84,세양,37.5375058,127.0938232,구의3동
88,서울특별시,광진구,화양동,능동로19길 35,광진코지웰,37.5469485,127.0717433,화양동
89,서울특별시,구로구,개봉동,경인로 382,한마을,37.4958289,126.8622245,개봉1동
90,서울특별시,구로구,개봉동,개봉로20길 6,현대,37.4917562,126.8594253,개봉2동
91,서울특별시,구로구,고척동,경인로47길 128,마젤란,37.5043146,126.8638827,고척1동
92,서울특별시,구로구,고척동,고척로60길 30,벽산베스트블루밍,37.5046017,126.8590829,고척2동
93,서울특별시,구로구,고척동,중앙로15길 132-17,삼익(1단지),37.5084514,126.8528034,고척2동
94,서울특별시,구로구,구로동,구로동로28길 42,구로지웰,37.4905442,126.8863227,구로2동
95,서울특별시,구로구,구로동,디지털로 319,구로현대,37.4882583,126.8962169,구로3동
96,서울특별시,구로구,구로동,구로중앙로7길 28,극동,37.4907992,126.8894852,구로4동
97,서울특별시,구로구,구로동,공원로 11,대림역포스큐,37.4982383,126.8919874,구로5동
98,서울특별시,구로구,구로동,도림로20길 30,성락,37.4886422,126.8929546,구로3동
99,서울특별시,구로구,구로동,구일로4길 65,주공1,37.4938655,126.8754851,구로1동
100,서울특별시,구로구,신도림동,신도림로 16,대림2,37.5060351,126.8817721,신도림동
101,서울특별시,금천구,독산동,범안로15길 65,중앙아파트,37.4691594,126.8917498,독산1동
102,서울특별시,금천구,시흥동,시흥대로73길 11,무지개,37.4560931,126.8983739,시흥1동
103,서울특별시,금천구,시흥동,시흥대로24길 44,보르미아파트(948-9),37.4411592,126.9067293,시흥3동
104,서울특별시,노원구,공릉동,공릉로 213,동신아파트,37.6279823,127.0767634,공릉2동
105,서울특별시,노원구,공릉동,화랑로 556,효성아파트,37.6211713,127.0884474,공릉2동
106,서울특별시,노원구,상계동,덕릉로 780,동아불암,37.666912,127.0797272,상계3·4동
107,서울특별시,노원구,상계동,동일로215길 23,상계주공2(고층),37.6501592,127.0599665,상계6·7동
108,서울특별시,노원구,상계동,동일로215길 48,상계주공3(고층),37.6517741,127.0590848,상계6·7동
109,서울특별시,노원구,상계동,동일로214길 21,상계주공4(고층),37.6501865,127.0633885,상계6·7동
110,서울특별시,노원구,월계동,월계로42길 97,꿈의숲SKVIEW,37.6216195,127.0538237,월계1동
111,서울특별시,노원구,월계동,월계로45길 21,롯데캐슬루나,37.62581,127.0505419,월계2동
112,서울특별시,노원구,월계동,월계로55길 15,사슴3,37.6317755,127.0596316,월계3동
113,서울특별시,노원구,월계동,석계로 49,현대,37.6188154,127.0626154,월계1동
114,서울특별시,노원구,중계동,중계로12길 24,금호타운(583),37.6468598,127.0814818,중계본동
115,서울특별시,노원구,중계동,노원로22길 34,롯데우성,37.6468639,127.0727902,중계1동
116,서울특별시,노원구,중계동,덕릉로71길 30,양지마을(대림)1,37.6512156,127.0704696,중계1동
117,서울특별시,노원구,중계동,중계로 230,주공5,37.6532198,127.0767003,중계1동
118,서울특별시,노원구,중계동,한글비석로8길 42,주공7,37.6471709,127.0797895,중계본동
119,서울특별시,노원구,중계동,한글비석로5길 62,주공8,37.6462798,127.0752905,중계1동
120,서울특별시,노원구,중계동,중계로8길 29,한화꿈에그린,37.6474767,127.0831853,중계본동
121,서울특별시,노원구,중계동,중계로8길 20,현대(6차),37.6465198,127.0841149,중계본동
122,서울특별시,노원구,하계동,공릉로59길 25,청솔(시영7),37.6324068,127.0710779,하계1동
123,서울특별시,도봉구,방학동,마들로 616,대상타운현대아파트,37.665179,127.0475584,방학1동
124,서울특별시,도봉구,방학동,마들로 646,방학동삼성래미안1,37.6671481,127.0470459,방학1동
125,서울특별시,도봉구,방학동,도봉로150길 43,이에스에이아파트2,37.6665061,127.0456486,방학1동
126,서울특별시,도봉구,쌍문동,우이천로32길 67,동익미라벨,37.6515578,127.0246935,쌍문1동
127,서울특별시,도봉구,창동,덕릉로 371,대우그린,37.6462113,127.0496704,창1동
128,서울특별시,도봉구,창동,노해로66길 21,삼성래미안,37.650009,127.0479675,창1동
129,서울특별시,도봉구,창동,덕릉로62길 13,신창,37.640606,127.0417536,창3동
130,서울특별시,도봉구,창동,덕릉로66길 17,주공17단지,37.6443944,127.0534216,창4동
131,서울특별시,도봉구,창동,덕릉로 350,창동주공4단지,37.6443129,127.0477796,창1동
132,서울특별시,동대문구,답십리동,전농로10길 20,답십리청솔우성,37.5744135,127.0593685,답십리2동
133,서울특별시,동대문구,답십리동,답십리로 130,래미안위브,37.5722385,127.0533054,답십리1동
134,서울특별시,동대문구,답십리동,서울시립대로 14,청계한신휴플러스,37.5722952,127.0457993,답십리1동
135,서울특별시,동대문구,이문동,한천로63길 10,대림e-편한세상,37.6045405,127.0645727,이문2동
136,서울특별시,동대문구,이문동,한천로58길 47,쌍용,37.5996626,127.0687106,이문2동
137,서울특별시,동대문구,전농동,사가정로 148,전농SK,37.5766718,127.0600873,전농2동
138,서울특별시,동대문구,청량리동,약령시로 154,미주,37.5823151,127.0458412,청량리동
139,서울특별시,동작구,노량진동,만양로 84,삼익,37.5108977,126.9451093,노량진1동
140,서울특별시,동작구,대방동,여의대방로44길 10,대림아파트,37.5072541,126.9247451,대방동
141,서울특별시,동작구,대방동,알마타길 37,대방1차e-편한세상,37.5119324,126.9289197,대방동
142,서울특별시,동작구,대방동,여의대방로44길 9,성원,37.5091801,126.9254979,대방동
143,서울특별시,동작구,대방동,여의대방로62길 7,신일해피트리,37.5138846,126.927591,대방동
144,서울특별시,동작구,본동,노량진로23가길 23,래미안트윈파크,37.5139321,126.9509486,노량진1동
145,서울특별시,동작구,사당동,동작대로29길 195,대성유니드,37.4932138,126.975201,사당2동
146,서울특별시,동작구,사당동,동작대로29길 91,사당우성2,37.4874971,126.9778572,사당2동
147,서울특별시,동작구,사당동,동작대로29길 110,신동아4,37.4896798,126.9781102,사당2동
148,서울특별시,동작구,상도동,상도로53길 8,래미안상도3차,37.4996328,126.9540213,상도1동
149,서울특별시,동작구,상도동,상도로 346-1,힐스테이트 상도 센트럴파크,37.4954771,126.9507658,상도1동
150,서울특별시,동작구,상도동,상도로 346-2,힐스테이트 상도 프레스티지,37.4966857,126.9488716,상도1동
151,서울특별시,동작구,신대방동,여의대방로 8,우성2차,37.4927595,126.9103426,신대방1동
152,서울특별시,마포구,대흥동,독막로 266,대흥동태영아파트,37.5450777,126.9424891,용강동
153,서울특별시,마포구,망원동,동교로3길 125,현진에버빌2,37.555391,126.8977626,망원1동
154,서울특별시,마포구,상암동,상암산로1길 24,상암월드컵파크4단지,37.5778878,126.8889062,상암동
155,서울특별시,마포구,서교동,월드컵북로5나길 18,대우미래사랑,37.5573055,126.9167261,서교동
156,서울특별시,마포구,아현동,마포대로 195,마포래미안푸르지오3단지,37.5552812,126.9540362,아현동
157,서울특별시,마포구,연남동,성미산로23길 38,현대하이츠,37.565073,126.9207338,연남동
158,서울특별시,마포구,염리동,독막로42길 2,마포자이,37.5432453,126.9451403,용강동
159,서울특별시,마포구,창전동,서강로 95,창전래미안,37.5511158,126.9306113,서강동
160,서울특별시,서대문구,남가좌동,거북골로 120,DMC센트레빌,37.575667,126.9155771,남가좌2동
161,서울특별시,서대문구,남가좌동,가재울미래로 2,DMC파크뷰자이1단지,37.5725776,126.916686,남가좌1동
162,서울특별시,서대문구,북아현동,이화여대8길 62,두산,37.5590659,126.9500105,북아현동
163,서울특별시,서대문구,북아현동,북아현로1길 50,신촌푸르지오,37.560437,126.9532284,북아현동
164,서울특별시,서대문구,연희동,연희로32길 20,대림,37.5754397,126.9361504,연희동
165,서울특별시,서대문구,홍은동,세검정로1길 35,풍림2,37.5934044,126.9429606,홍은1동
166,서울특별시,서대문구,홍제동,홍제내2길 67,중앙하이츠,37.5869234,126.936655,홍제1동
167,서울특별시,서대문구,홍제동,통일로 319,홍제삼성래미안,37.5783797,126.9515508,홍제1동
168,서울특별시,서초구,반포동,신반포로 137,반포경남아파트,37.5068074,126.9990048,반포2동
169,서울특별시,서초구,반포동,신반포로16길 15-20,반포힐스테이트,37.5010217,126.9967636,반포2동
