,대구분,소구분,역명,위도,경도
0,지하철,5호선,미사,37.560927,127.193877
1,지하철,5호선,강일,37.55749,127.17593
2,지하철,수도권 광역급행철도,동탄,37.20034,127.09569
3,지하철,수도권 광역급행철도,구성,37.29913,127.10389
4,지하철,수도권 광역급행철도,성남,37.39467,127.12058
5,지하철,수도권 광역급행철도,수서,37.48637,127.10161
6,지하철,수도권 광역급행철도,삼성,37.50887,127.06324
7,지하철,수도권 광역급행철도,서울,37.55569,126.97296
8,지하철,수도권 광역급행철도,연신내,37.61878,126.9213
9,지하철,수도권 광역급행철도,대곡,37.63191,126.81113
10,지하철,수도권 광역급행철도,킨텍스,37.66532,126.74843
11,지하철,수도권 광역급행철도,운정,37.71614,126.72841
12,지하철,김포골드라인,김포공항,37.56236,126.801868
13,지하철,김포골드라인,고촌,37.601243,126.770345
14,지하철,김포골드라인,풍무,37.612488,126.732387
15,지하철,김포골드라인,사우(김포시청),37.620249,126.719731
16,지하철,김포골드라인,걸포북변,37.63165,126.705975
17,지하철,김포골드라인,운양,37.653867,126.68393
18,지하철,김포골드라인,장기,37.643986,126.669017
19,지하철,김포골드라인,마산,37.640732,126.644344
20,지하철,김포골드라인,구래,37.645384,126.628633
21,지하철,김포골드라인,양촌,37.642379,126.614309
22,지하철,서해선,원시,37.302371,126.786691
23,지하철,서해선,원곡,37.31321,126.796261
24,지하철,서해선,초지,37.319619,126.808147
25,지하철,서해선,선부,37.334353,126.809904
26,지하철,서해선,달미,37.348847,126.809409
27,지하철,서해선,시흥능곡,37.369864,126.808573
28,지하철,서해선,시흥시청,37.382223,126.805625
29,지하철,서해선,신현,37.409008,126.788017
30,지하철,서해선,신천,37.439066,126.786788
31,지하철,서해선,시흥대야,37.450145,126.793041
32,지하철,서해선,소새울,37.468467,126.797252
33,지하철,서해선,소사,37.483279,126.795023
34,지하철,우이신설선,신설동,37.576095,127.023242
35,지하철,우이신설선,보문,37.585286,127.019381
36,지하철,우이신설선,성신여대입구(돈암),37.592467,127.016516
37,지하철,우이신설선,정릉,37.603133,127.013396
38,지하철,우이신설선,북한산보국문,37.612072,127.008251
39,지하철,우이신설선,솔샘,37.620238,127.013626
40,지하철,우이신설선,삼양사거리,37.621337,127.020473
41,지하철,우이신설선,삼양,37.626914,127.018106
42,지하철,우이신설선,화계,37.634133,127.017511
43,지하철,우이신설선,가오리,37.641537,127.016789
44,지하철,우이신설선,4.19민주묘지,37.649502,127.013684
