주소,위도,경도
서울특별시 강남구 개포동 1164-12,37.48421,127.07006
서울특별시 강남구 개포동 1164-13,37.48421,127.07006
서울특별시 강남구 개포동 1164-14,37.48421,127.07006
서울특별시 강남구 개포동 1164-20,37.48421,127.07006
서울특별시 강남구 개포동 1164-25,37.48421,127.07006
서울특별시 강남구 개포동 1164-28,37.48421,127.07006
서울특별시 강남구 개포동 1164-30,37.48421,127.07006
서울특별시 강남구 개포동 1164-7,37.48421,127.07006
서울특별시 강남구 개포동 1165,37.48421,127.07006
서울특별시 강남구 개포동 1167,37.48421,127.07006
서울특별시 강남구 개포동 12,37.4827757,127.061998
서울특별시 강남구 개포동 12-2,37.48421,127.07006
서울특별시 강남구 개포동 1242-2,37.48421,127.07006
서울특별시 강남구 개포동 1260-11,37.48421,127.07006
서울특별시 강남구 개포동 1260-2,37.48421,127.07006
서울특별시 강남구 개포동 1260-4,37.48421,127.07006
서울특별시 강남구 개포동 1280,37.48421,127.07006
서울특별시 강남구 개포동 1281,37.48421,127.07006
서울특별시 강남구 개포동 1282,37.48421,127.07006
서울특별시 강남구 개포동 1283,37.48421,127.07006
서울특별시 강남구 개포동 140,37.48421,127.07006
서울특별시 강남구 개포동 141,37.48421,127.07006
서울특별시 강남구 개포동 166-4,37.48421,127.07006
서울특별시 강남구 개포동 172-3,37.48421,127.07006
서울특별시 강남구 개포동 176-1,37.48421,127.07006
서울특별시 강남구 개포동 176-2,37.48421,127.07006
서울특별시 강남구 개포동 177,37.48421,127.07006
서울특별시 강남구 개포동 179,37.48421,127.07006
서울특별시 강남구 개포동 185,37.48421,127.07006
서울특별시 강남구 개포동 187,37.48421,127.07006
서울특별시 강남구 개포동 189,37.48421,127.07006
서울특별시 강남구 개포동 649,37.48421,127.07006
서울특별시 강남구 개포동 651-1,37.48421,127.07006
서울특별시 강남구 개포동 652,37.48421,127.07006
서울특별시 강남구 개포동 653,37.48421,127.07006
서울특별시 강남구 개포동 654,37.48421,127.07006
서울특별시 강남구 개포동 655-1,37.48421,127.07006
서울특별시 강남구 개포동 655-2,37.48421,127.07006
서울특별시 강남구 개포동 655-3,37.48421,127.07006
서울특별시 강남구 개포동 658-1,37.48421,127.07006
서울특별시 강남구 개포동 660-4,37.48421,127.07006
서울특별시 강남구 논현동 102-9,37.5123018,127.0294935
서울특별시 강남구 논현동 103,37.511528,127.0218483
서울특별시 강남구 논현동 103-11,37.5123018,127.0294935
서울특별시 강남구 논현동 104-23,37.5123018,127.0294935
서울특별시 강남구 논현동 105,37.5118579,127.0221354
서울특별시 강남구 논현동 105-3,37.5123018,127.0294935
서울특별시 강남구 논현동 105-4,37.5123018,127.0294935
서울특별시 강남구 논현동 106,37.5111448,127.0226255
서울특별시 강남구 논현동 107-44,37.5123018,127.0294935
서울특별시 강남구 논현동 108,37.5123018,127.0294935
서울특별시 강남구 논현동 108-2,37.5123018,127.0294935
서울특별시 강남구 논현동 109-9,37.5123018,127.0294935
서울특별시 강남구 논현동 114-23,37.5123018,127.0294935
서울특별시 강남구 논현동 118-8,37.5123018,127.0294935
서울특별시 강남구 논현동 122-25,37.5123018,127.0294935
서울특별시 강남구 논현동 128-6,37.5123018,127.0294935
서울특별시 강남구 논현동 130-9,37.5123018,127.0294935
서울특별시 강남구 논현동 138-9,37.5123018,127.0294935
서울특별시 강남구 논현동 180-6,37.5123018,127.0294935
서울특별시 강남구 논현동 192-1,37.5123018,127.0294935
서울특별시 강남구 논현동 192-15,37.5123018,127.0294935
서울특별시 강남구 논현동 192-3,37.5123018,127.0294935
서울특별시 강남구 논현동 194-22,37.5123018,127.0294935
서울특별시 강남구 논현동 194-23,37.5123018,127.0294935
서울특별시 강남구 논현동 195-1,37.5123018,127.0294935
서울특별시 강남구 논현동 196,37.5123018,127.0294935
서울특별시 강남구 논현동 196-4,37.5123018,127.0294935
서울특별시 강남구 논현동 202-7,37.5123018,127.0294935
서울특별시 강남구 논현동 205-2,37.5123018,127.0294935
서울특별시 강남구 논현동 207,37.5078493,127.0347036
서울특별시 강남구 논현동 211-21,37.5123018,127.0294935
서울특별시 강남구 논현동 212-13,37.5123018,127.0294935
서울특별시 강남구 논현동 212-20,37.5123018,127.0294935
서울특별시 강남구 논현동 214-2,37.5123018,127.0294935
서울특별시 강남구 논현동 215-14,37.5123018,127.0294935
서울특별시 강남구 논현동 216-1,37.5123018,127.0294935
서울특별시 강남구 논현동 217-34,37.5123018,127.0294935
서울특별시 강남구 논현동 22,37.5127338,127.021931
서울특별시 강남구 논현동 221-7,37.5123018,127.0294935
서울특별시 강남구 논현동 222-18,37.5123018,127.0294935
서울특별시 강남구 논현동 225-6,37.5123018,127.0294935
서울특별시 강남구 논현동 228-9,37.5123018,127.0294935
서울특별시 강남구 논현동 229-13,37.5123018,127.0294935
서울특별시 강남구 논현동 241-1,37.5123018,127.0294935
서울특별시 강남구 논현동 245,37.5123018,127.0294935
서울특별시 강남구 논현동 249-9,37.5123018,127.0294935
서울특별시 강남구 논현동 252,37.5123018,127.0294935
서울특별시 강남구 논현동 252-1,37.5123018,127.0294935
서울특별시 강남구 논현동 258,37.5123018,127.0294935
