위도,경도,도로명
,,곰달래로22길 14
,,곰달래로22길 15
,,곰달래로22길 18
,,곰달래로22길 27
,,곰달래로22길 5
,,곰달래로22길 8
,,곰달래로22길 9
,,광나루로12길 5
,,광장로7길 31
,,구암5가길 49
,,굴레방로1길 25
,,남부순환로256라길 11
,,남부순환로256라길 25
,,남부순환로291길 5
,,능동로1길 15
,,대림로34마길 15
,,대사관로7길 5
,,대사관로7길 8
,,도봉로76가길 15
,,독서당로34길 22
,,동교로5길 23
,,동소문로27길 37
,,동일로250길 17
,,동일로250길 18
,,동작대로45길 10
,,동작대로45길 22
,,디지털로69길 12
,,디지털로69길 13
,,마포대로28가길 21-3
,,매봉로2가길 3
,,면목로30가길 31
,,반포대로27길 13
,,방배로1길 15
,,방배로1길 9
,,방배중앙로9길 29
,,보문로38길 11
,,봉화산로1길 16
,,사당로2길 2-32
,,사당로2길 40
,,사당로2길 72
,,사당로2길 76
,,석계로15길 25
,,선유서로9길 5
,,성북로31가길 5
,,수색로20길 26-13
,,시루봉로11길 25-8
,,시루봉로2길 22
,,시루봉로2길 62
,,시루봉로2길 80
,,시루봉로2길 90
,,시흥대로173길 13
,,시흥대로187길 12
,,신정로13길 35
,,신정로13길 38
,,신정로13길 50
,,신정로13길 51
,,영등포로62길 42
,,영등포로62길 5
,,오리로13가길 30
,,월계로36길 27
,,은천로34길 14
,,은천로34길 15
,,은천로34길 20
,,은천로34길 23
,,은천로34길 24
,,은천로34길 8
,,은천로34길 9
,,이촌로69길 30
,,이촌로75길 6
,,인촌로12길 64
,,인촌로17가길 64
,,인촌로2길 37
,,잠원로12길 4
,,장승배기로11가길 11
,,장승배기로17길 31
,,장승배기로17길 32
,,중계로14나길 25
,,통일로31길 6
,,풍성로51길 11
,,풍성로51길 32
,,풍성로51길 8
,,학동로105길 30
,,화랑로43길 34
,,후암로28마길 2
37.434411700000005,126.90604945,시흥대로2길 24
37.434411700000005,126.90604945,시흥대로2길 57-18
37.434411700000005,126.90604945,시흥대로2길 8-31
37.434411700000005,126.90604945,시흥대로2길 8-25
37.43696404680287,126.90291250535223,시흥대로 251
37.43696404680287,126.90291250535223,시흥대로 254
37.43696404680287,126.90291250535223,시흥대로 291-1
37.4394989,126.9050956,시흥대로14길 29
37.439748924187754,126.90418138574876,시흥대로12길 45
37.439748924187754,126.90418138574876,시흥대로12길 33
37.439748924187754,126.90418138574876,시흥대로12길 28
37.439748924187754,126.90418138574876,시흥대로12길 10-8
37.43998414214446,126.90575389584237,시흥대로16길 21
37.44092296322003,126.90590994413402,시흥대로22길 48
37.44092296322003,126.90590994413402,시흥대로22길 52
37.441402037600135,126.90601245229192,시흥대로24길 32
37.441402037600135,126.90601245229192,시흥대로24길 44
37.44183558678908,126.90604779922488,시흥대로26길 16
37.44183558678908,126.90604779922488,시흥대로26길 36
37.442408000001095,126.90580413716155,시흥대로28길 32
37.4460102,126.9023823050522,시흥대로37길 20
37.44661795,126.91710982254396,금하로 816
37.4480466,126.89907533810616,시흥대로47길 43
37.44838215,126.90115944171568,시흥대로 165
37.4485719,127.0569229,청계산로11길 7-12
37.44866147269936,126.90985385678776,금하로24나길 48
37.44866466038616,126.90854210239144,금하로24길 91
37.4488294,127.054879,청계산로9길 1-3
37.4490293818956,126.90076304689052,시흥대로45길 26
37.44911110362837,126.90502647524131,독산로 211
37.44911110362837,126.90502647524131,독산로 293
37.44911110362837,126.90502647524131,독산로 299
37.44938069023118,126.91570167413536,금하로30길 34
37.4494236,126.9170384462946,금하로 796
37.449448149999995,127.05476295,청계산로9길 1-12
37.44950815,126.91126515535532,독산로10길 96
37.44950865,126.912519450603,금하로 750
37.4496389,126.900158,시흥대로47길 35
37.44971404493132,126.90955178082176,독산로10길 19
37.45066440714854,126.9137966960209,탑골로2길 19
37.45066440714854,126.9137966960209,탑골로2길 55
37.45083396725535,126.90431936216972,금하로14길 53-1
37.4508935,126.8980811942496,시흥대로51길 55
37.45092560576003,127.05498285771031,청계산로7길 43
37.4510444,126.91147258750333,탑골로2길 24
37.45123957333621,126.89868972427688,시흥대로51길 93-25
37.45139541953827,126.90567592811676,독산로 78-1
37.45139541953827,126.90567592811676,독산로 337
37.45145206530965,126.9031116090626,시흥대로50길 12-27
37.4516853604496,126.90732468298786,금하로 720
37.452612349999995,126.90053913225104,시흥대로57길 5
37.452623346049855,126.90285703825047,시흥대로54길 47
37.452623346049855,126.90285703825047,시흥대로54길 41
37.452858341456015,126.91018364827634,독산로22길 86
37.45298045,126.89829858057335,시흥대로59길 35
37.4529874,126.917482391982,탑골로 84
37.453208630157825,126.89996940412182,시흥대로57길 17
37.4532253312027,126.89899669855792,시흥대로59길 13
37.45339305,126.9146227789588,탑골로3길 50
37.4536498114299,126.9098816948022,금하로23라길 31
37.45376846980928,126.8990220693425,시흥대로61길 16
37.45382155,126.9195673,금하로 793
37.453945,126.90139817378048,시흥대로 224
37.45420252497414,126.9078280314806,독산로24다길 22
37.45437421146851,126.8971788751375,금하로3길 26
37.4549713,126.90101209045474,시흥대로 236
37.4549843,127.0589889,헌릉로8길 22
37.4553216,127.0599174,헌릉로8길 45
37.455634628447086,126.90741870107033,독산로24나길 13
37.45576694851938,126.9091648077241,금하로23길 52
37.45581134607488,127.05825652193344,헌릉로8길 58
37.4558452,127.0578834,헌릉로8길 10-12
37.45596939488992,126.90099838688576,시흥대로64길 27
37.4564712,127.0163292,양재대로2길 11
37.4564712,127.0163292,양재대로2길 100-11
37.45656645,126.8982531351023,시흥대로73길 11
37.45657626532334,127.01983637790292,양재대로2길 90
37.45657626532334,127.01983637790292,양재대로2길 33
37.45657626532334,127.01983637790292,양재대로2길 109
37.45667237611979,126.8875797473313,한내로 52
37.45667237611979,126.8875797473313,한내로 69-15
37.45667237611979,126.8875797473313,한내로 62
37.45667237611979,126.8875797473313,한내로 69-54
37.45757750740289,126.90385063605558,독산로35길 43
37.4579084,126.89402446320922,벚꽃로 30
37.458190578141384,126.89803692822932,시흥대로77길 23
37.458190578141384,126.89803692822932,시흥대로77길 28
37.458253840141055,126.89327422979586,벚꽃로 73
37.458253840141055,126.89327422979586,벚꽃로 316
37.458253840141055,126.89327422979586,벚꽃로 60
37.458253840141055,126.89327422979586,벚꽃로 100
37.4586496,127.0221418,양재대로2길 34
37.45928003061755,126.90627715055788,독산로36길 62
37.45928003061755,126.90627715055788,독산로36길 36
37.45928003061755,126.90627715055788,독산로36길 73
37.4594829,126.89586094658496,벚꽃로 40
37.460295,127.101215,헌릉로590길 63
37.46038045,126.89652113054332,시흥대로 291
37.46078873431325,126.89398207485657,벚꽃로6길 3
37.46081642617126,126.90027124317172,시흥대로88길 21
37.46105100013525,126.90748975018734,독산로40길 102
37.46105100013525,126.90748975018734,독산로40길 97
37.46117646930225,126.92506755452902,호암로 417
37.4614562,127.0265202,태봉로2길 30
37.461565980568395,126.90754548543497,독산로44길 51
37.4616596,126.9100496,독산로50다길 8-12
37.4618251,127.0232459,태봉로2길 10
37.46211536674813,126.91247969242364,독산로50길 57-2
37.46211536674813,126.91247969242364,독산로50길 151-1
37.46211536674813,126.91247969242364,독산로50길 89
37.4625249,127.024859,태봉로2길 5
37.4628123,127.021737,형촌길 15
37.4636408,127.0262631,태봉로2길 65
37.46366803713237,126.92589493866473,광신길 86
37.463683994446434,127.10034929015714,헌릉로590길
37.463683994446434,127.10034929015714,헌릉로590길 88
37.4637865,127.1044394,헌릉로590길 11
37.46382339587216,126.93317409886023,호암로16길 5
37.46382339587216,126.93317409886023,호암로16길 11
37.4639814603346,126.91869620163452,난곡로 90-39
37.4639814603346,126.91869620163452,난곡로 80
37.4639814603346,126.91869620163452,난곡로 100
37.4639814603346,126.91869620163452,난곡로 30
37.4639814603346,126.91869620163452,난곡로 55
37.4639814603346,126.91869620163452,난곡로 63
37.4639814603346,126.91869620163452,난곡로 66
37.4639814603346,126.91869620163452,난곡로 186
37.4640403,126.9193742,난곡로 98
37.4641419,127.0277482,태봉로2길 60
37.4642142,126.89890895,시흥대로100길 21-8
37.464236,127.1005321,헌릉로590길 100
37.4644664,127.1027456,헌릉로590길 10
37.4646723211746,126.9369826286882,대학18길 6
37.4646723211746,126.9369826286882,대학18길 9
37.46471850970488,126.9062924515742,독산로58나길 56
37.464892465046645,126.9377875234966,대학20길 27
37.46494531631067,126.89843573645798,시흥대로102길 33
37.4649821385566,126.89220231240378,범안로12길 47
37.4649821385566,126.89220231240378,범안로12길 41
37.4649821385566,126.89220231240378,범안로12길 15
37.46499830547971,126.9314740842253,호암로 568
37.46499830547971,126.9314740842253,호암로 566
37.46499830547971,126.9314740842253,호암로 541
37.46499830547971,126.9314740842253,호암로 527
37.46499830547971,126.9314740842253,호암로 519
37.46499830547971,126.9314740842253,호암로 399
37.465186899678905,127.10833106583792,밤고개로 165
37.46521824742838,127.01946803565107,형촌길 35
37.46540935871056,126.98825440882251,과천대로 908
37.46544437820141,126.90739046255086,독산로54길 303
37.46578135655015,127.03528772446568,매헌로6길 46
37.46578135655015,127.03528772446568,매헌로6길 42
37.4658555,126.9393145,신림로11길 151
37.46648903842462,126.89615194981955,범안로 1158
37.46648903842462,126.89615194981955,범안로 1212
37.46648903842462,126.89615194981955,범안로 1136
37.46661842411212,127.04341552194984,강남대로2길 24
37.46661842411212,127.04341552194984,강남대로2길 38
37.46661842411212,127.04341552194984,강남대로2길 72
37.46661842411212,127.04341552194984,강남대로2길 96
37.466619810800495,127.03489413358234,매헌로14길 18
37.466836946602875,126.93032182839168,광신길 160
37.46687755938714,127.03557881191352,매헌로16길 40
